Date,Open(Q.FTAS),High(Q.FTAS),Low(Q.FTAS),Last(Q.FTAS)
24/07/2019,4124.22,4125.98,4090.70,4100.36
23/07/2019,4102.02,4143.08,4102.02,4124.22
22/07/2019,4098.32,4117.93,4089.65,4102.02
19/07/2019,4088.57,4115.74,4081.21,4098.32
18/07/2019,4110.44,4110.46,4084.61,4088.57
17/07/2019,4130.36,4130.92,4102.37,4110.44
16/07/2019,4107.50,4136.33,4104.46,4130.36
15/07/2019,4094.94,4115.16,4087.06,4107.50
12/07/2019,4093.50,4108.35,4088.80,4094.94
11/07/2019,4101.88,4116.91,4090.35,4093.50
10/07/2019,4105.85,4116.24,4095.14,4101.88
09/07/2019,4115.79,4116.51,4097.47,4105.85
08/07/2019,4120.51,4129.82,4112.22,4115.79
05/07/2019,4147.97,4148.03,4115.10,4120.51
04/07/2019,4150.07,4156.72,4147.05,4147.97
03/07/2019,4123.10,4154.99,4122.63,4150.07
02/07/2019,4095.18,4125.68,4095.18,4123.10
01/07/2019,4056.88,4109.69,4056.88,4095.18
28/06/2019,4041.72,4061.53,4041.33,4056.88
27/06/2019,4046.05,4057.53,4027.15,4041.72
26/06/2019,4049.83,4055.53,4041.31,4046.05
25/06/2019,4047.95,4052.06,4026.14,4049.83
24/06/2019,4045.12,4057.46,4041.51,4047.95
21/06/2019,4054.83,4069.42,4033.53,4045.12
20/06/2019,4040.93,4072.55,4040.90,4054.83
19/06/2019,4060.63,4066.33,4038.95,4040.93
18/06/2019,4016.96,4073.19,4009.56,4060.63
17/06/2019,4010.80,4023.16,4002.45,4016.96
14/06/2019,4022.84,4022.98,3997.40,4010.80
13/06/2019,4024.80,4038.57,4017.09,4022.84
12/06/2019,4041.37,4041.37,4006.01,4024.80
11/06/2019,4030.56,4051.13,4030.56,4041.37
10/06/2019,4008.15,4032.18,4008.15,4030.56
07/06/2019,3970.37,4013.48,3969.76,4008.15
06/06/2019,3952.92,3978.57,3952.22,3970.37
05/06/2019,3948.13,3974.36,3944.31,3952.92
04/06/2019,3931.10,3951.73,3907.20,3948.13
03/06/2019,3923.87,3932.01,3881.44,3931.10
31/05/2019,3954.18,3954.18,3909.16,3923.87
30/05/2019,3934.17,3962.57,3931.98,3954.18
29/05/2019,3980.38,3980.38,3920.69,3934.17
28/05/2019,3981.61,4000.84,3974.90,3980.38
24/05/2019,3957.01,3994.08,3956.98,3981.61
23/05/2019,4012.87,4012.87,3947.89,3957.01
22/05/2019,4014.44,4036.44,4006.53,4012.87
